خانة	السياق الخبري	السياق المنفي	الهدف الخبري	الهدف المنفي	الترخص
0	مع المعدات المناسبة  يعد الغوص تحت الماء [MASK].	مع المعدات المناسبة لا يعد الغوص تحت الماء [MASK].	آمن	خطير	Y
1	يعد التنقل في بغداد [MASK].	يعد التنقل في بغداد غير [MASK].	آمن	خطير	Y
2	يعد شرب النبيذ الأحمر باعتدال هو أمراً  [MASK].	لا يعد شرب النبيذ الأحمر باعتدال ليس أمراً [MASK].	جيد	سيئًا	Y
3	يعد شرب مياه الصنبور في البلدان النامية [MASK].	لا يعد شرب مياه الصنبور في البلدان النامية ليس [MASK].	خطير	آمن	Y
4	الأثاث المستعمل ثمنه [MASK].	الأثاث المستعمل ثمنه ليس  [MASK].	رخيص	غالي	Y
5	يجد معظم المدخنين أن الإقلاع عن التدخين  أمر [MASK].	يجد معظم المدخنين أن الإقلاع عن التدخين ليس بالأمر [MASK].	صعب	السهل	Y
6	قد تكون أجهزة الكمبيوتر القديمة [MASK].	قد لا تكون أجهزة الكمبيوتر القديمة  [MASK].	بطيئة	سريعة	Y
7	يعد عشاء الوجبات السريعة في الموعد الأول [MASK].	لا يعدعشاء الوجبات السريعة في الموعد الأول  [MASK].	ممل	رومانسيًا	Y
8	تعد السترات الواقية من الرصاص [MASK].	لا تعد السترات الواقية من الرصاص ليست [MASK].	آمنة	خطيرة	N
9	تعد الهجمات الإرهابية بالقنابل [MASK].	لا تعد الهجمات الإرهابية بالقنابل ليست [MASK].	خطيرة	آمنة	N
10	الفيتامينات والبروتينات [MASK] جدا.	الفيتامينات والبروتينات ليست  [MASK] جدا.	جيدة	سيئة	N
11	يعد استعمال واقي شمس قوي امرا [MASK].	لا يعد استعمال واقي شمس قوي بالامر [MASK].	آمن	خطيرًا	N
12	حركة الصواريخ والقذائف [MASK].	حركة الصواريخ والقذائف ليست [MASK].	سريعة	بطيئة	N
13	يعد إبقاء الباب مفتوحًا لشخص ما تصرف [MASK].	لا يعد إبقاء الباب مفتوحًا لشخص ما ليس تصرفاً [MASK].	مهذب	وقحًا	N
14	ملمس فراء صغير الأرنب [MASK].	ملمس فراء صغير الأرنب ليس [MASK].	ناعم	قاسيا	N
15	يعد رجل الأعمال دونالد ترامب [MASK].	لا يعد رجل الأعمال دونالد ترامب ليس [MASK].	غني	فقيراً	N

